Pedido_ID,Data,Produto,Categoria,Subcategoria,Regiao,Cidade,Cliente,Quantidade,Preco,Custo,Modo_Envio
P00001,2024-04-11,Papel A4,Escritório,Papel A4,Nordeste,Fortaleza,Cliente_215,8,2103.33,1255.28,Expresso
P00002,2023-12-10,Papel A4,Escritório,Papel A4,Centro-Oeste,Goiânia,Cliente_294,8,2285.09,1295.47,Padrão
P00003,2024-04-19,Mochila,Acessórios,Mochila,Sudeste,Rio de Janeiro,Cliente_59,6,44.59,24.83,Expresso
P00004,2024-05-19,Armário,Móveis,Armário,Sul,Porto Alegre,Cliente_131,14,714.86,503.46,Econômico
P00005,2023-01-14,Agenda,Escritório,Agenda,Sudeste,São Paulo,Cliente_242,7,66.16,55.09,Padrão
P00006,2024-03-03,Mouse,Tecnologia,Mouse,Sudeste,Rio de Janeiro,Cliente_264,4,858.77,648.35,Expresso
P00007,2024-07-19,Caneta,Escritório,Caneta,Sudeste,Rio de Janeiro,Cliente_106,8,2648.66,1794.59,Padrão
P00008,2023-09-27,Teclado,Tecnologia,Teclado,Sul,Porto Alegre,Cliente_271,12,3289.46,2692.25,Padrão
P00009,2023-02-22,Papel A4,Escritório,Papel A4,Sul,Porto Alegre,Cliente_280,5,1372.6,866.66,Padrão
P00010,2023-03-06,Monitor,Tecnologia,Monitor,Centro-Oeste,Goiânia,Cliente_9,13,510.42,403.57,Econômico
P00011,2024-01-14,Suporte,Acessórios,Suporte,Nordeste,Fortaleza,Cliente_261,1,2495.47,1964.07,Padrão
P00012,2023-02-17,Caneta,Escritório,Caneta,Sudeste,Belo Horizonte,Cliente_62,9,2189.08,1421.3,Econômico
P00013,2024-10-04,Caneta,Escritório,Caneta,Nordeste,Fortaleza,Cliente_257,1,1352.59,1138.22,Econômico
P00014,2024-07-07,Armário,Móveis,Armário,Nordeste,Recife,Cliente_179,7,160.71,122.65,Expresso
P00015,2024-10-16,Suporte,Acessórios,Suporte,Sudeste,São Paulo,Cliente_171,4,3178.33,1985.78,Econômico
P00016,2024-11-12,Mochila,Acessórios,Mochila,Centro-Oeste,Brasília,Cliente_45,11,2437.85,1984.75,Padrão
P00017,2023-11-27,Notebook,Tecnologia,Notebook,Sul,Porto Alegre,Cliente_128,12,780.17,526.58,Padrão
P00018,2024-09-24,Papel A4,Escritório,Papel A4,Nordeste,Recife,Cliente_116,1,967.02,719.76,Econômico
P00019,2023-08-13,Teclado,Tecnologia,Teclado,Nordeste,Recife,Cliente_234,8,1878.63,1306.49,Expresso
P00020,2024-05-11,Caneta,Escritório,Caneta,Centro-Oeste,Goiânia,Cliente_52,8,2466.51,1625.65,Padrão
P00021,2023-04-23,Caneta,Escritório,Caneta,Nordeste,Salvador,Cliente_2,5,1011.24,567.38,Padrão
P00022,2023-02-22,Fone,Acessórios,Fone,Nordeste,Salvador,Cliente_172,1,2227.54,1680.04,Padrão
P00023,2024-02-05,Fone,Acessórios,Fone,Centro-Oeste,Brasília,Cliente_255,4,301.37,199.17,Padrão
P00024,2023-05-24,Mochila,Acessórios,Mochila,Centro-Oeste,Goiânia,Cliente_97,6,1407.91,1119.19,Econômico
P00025,2024-02-07,Suporte,Acessórios,Suporte,Sul,Porto Alegre,Cliente_147,13,3007.09,1947.95,Expresso
P00026,2024-04-17,Mochila,Acessórios,Mochila,Sudeste,Belo Horizonte,Cliente_151,2,2935.23,2209.37,Expresso
P00027,2024-07-25,Mesa,Móveis,Mesa,Nordeste,Fortaleza,Cliente_2,12,628.84,531.15,Econômico
P00028,2023-08-21,Fone,Acessórios,Fone,Centro-Oeste,Brasília,Cliente_99,5,3091.57,1875.39,Expresso
P00029,2024-08-09,Suporte,Acessórios,Suporte,Centro-Oeste,Goiânia,Cliente_113,6,2733.97,2030.27,Padrão
P00030,2023-12-04,Fone,Acessórios,Fone,Nordeste,Recife,Cliente_194,9,2328.99,1284.48,Padrão
P00031,2024-05-18,Papel A4,Escritório,Papel A4,Sudeste,São Paulo,Cliente_135,4,845.63,547.64,Expresso
P00032,2024-10-31,Monitor,Tecnologia,Monitor,Sudeste,Belo Horizonte,Cliente_38,3,2234.44,1396.83,Padrão
P00033,2024-08-31,Teclado,Tecnologia,Teclado,Sul,Porto Alegre,Cliente_284,11,1531.69,1003.29,Expresso
P00034,2024-05-26,Mochila,Acessórios,Mochila,Sudeste,São Paulo,Cliente_17,3,2010.57,1569.39,Padrão
P00035,2023-12-15,Mouse,Tecnologia,Mouse,Sudeste,Rio de Janeiro,Cliente_181,3,2622.06,2191.84,Expresso
P00036,2023-09-13,Papel A4,Escritório,Papel A4,Centro-Oeste,Brasília,Cliente_128,13,1360.14,1095.38,Padrão
P00037,2024-09-17,Mouse,Tecnologia,Mouse,Nordeste,Recife,Cliente_288,10,3256.46,1859.84,Expresso
P00038,2023-04-14,Armário,Móveis,Armário,Sul,Curitiba,Cliente_299,11,1047.61,677.56,Padrão
P00039,2024-02-12,Suporte,Acessórios,Suporte,Sudeste,Rio de Janeiro,Cliente_13,7,1480.84,928.28,Padrão
P00040,2024-02-04,Papel A4,Escritório,Papel A4,Centro-Oeste,Brasília,Cliente_142,4,2281.87,1735.57,Expresso
P00041,2023-02-20,Agenda,Escritório,Agenda,Centro-Oeste,Goiânia,Cliente_153,2,1545.89,1161.9,Padrão
P00042,2024-11-12,Caneta,Escritório,Caneta,Sudeste,Rio de Janeiro,Cliente_271,10,3014.21,1884.11,Padrão
P00043,2023-07-15,Papel A4,Escritório,Papel A4,Sudeste,São Paulo,Cliente_262,12,771.06,568.17,Econômico
